类别,评论数,喜欢数
竞速游戏,1698,234
竞速游戏,679,54
竞速游戏,976,182
模拟经营,811,232
策略塔防,818,68
竞速游戏,628,26
模拟经营,938,345
策略塔防,664,168
冒险解谜,6603,3086
冒险解谜,1390,888
策略塔防,628,64
策略塔防,695,128
冒险解谜,1193,996
策略塔防,615,172
冒险解谜,695,289
策略塔防,924,134
策略塔防,832,251
模拟经营,2852,1046
模拟经营,1272,225
策略塔防,829,461
策略塔防,912,76
模拟经营,1121,1414
模拟经营,505,114
竞速游戏,799,84
策略塔防,5655,4211
策略塔防,6171,3939
模拟经营,685,483
策略塔防,6154,2453
策略塔防,3842,763
竞速游戏,728,113
竞速游戏,1111,37
冒险解谜,988,355
冒险解谜,2291,3985
竞速游戏,467,36
冒险解谜,400,361
冒险解谜,2333,705
冒险解谜,4406,6290
冒险解谜,298,38
竞速游戏,1277,244
竞速游戏,389,40
竞速游戏,323,2
冒险解谜,667,231
冒险解谜,1262,131
模拟经营,452,130
策略塔防,170,36
竞速游戏,147,5
策略塔防,880,96
冒险解谜,3584,5003
策略塔防,472,72
冒险解谜,1935,1212
冒险解谜,351,927
策略塔防,2608,1383
策略塔防,204,53
冒险解谜,1565,712
模拟经营,223,81
冒险解谜,246,53
策略塔防,424,443
策略塔防,213,94
模拟经营,564,166
竞速游戏,194,8
模拟经营,499,56
策略塔防,1051,116
冒险解谜,3922,2278
策略塔防,1470,140
冒险解谜,3123,794
模拟经营,4272,286
竞速游戏,119,4
模拟经营,736,128
策略塔防,143,4
策略塔防,668,9
竞速游戏,173,33
模拟经营,375,140
策略塔防,523,1061
模拟经营,2161,917
冒险解谜,6837,5193
策略塔防,120,36
冒险解谜,3775,1619
冒险解谜,5056,3029
竞速游戏,192,66
竞速游戏,114,36
模拟经营,666,191
策略塔防,149,50
冒险解谜,707,483
策略塔防,770,10
策略塔防,283,40
策略塔防,186,91
模拟经营,912,94
竞速游戏,341,463
冒险解谜,2221,2992
模拟经营,1273,749
冒险解谜,102,329
冒险解谜,339,995
冒险解谜,2440,1417
模拟经营,416,132
竞速游戏,754,57
模拟经营,4572,291
模拟经营,177,24
策略塔防,520,32
竞速游戏,61,1
模拟经营,189,56
冒险解谜,5986,2169
冒险解谜,1789,1347
冒险解谜,3064,947
冒险解谜,2371,2708
冒险解谜,472,227
冒险解谜,3316,672
冒险解谜,329,307
竞速游戏,174,16
竞速游戏,154,21
策略塔防,153,44
策略塔防,105,21
模拟经营,734,102
策略塔防,59,93
策略塔防,2588,110
策略塔防,3978,1840
冒险解谜,707,1498
冒险解谜,2923,3503
策略塔防,3839,1258
冒险解谜,2733,1989
竞速游戏,358,94
策略塔防,617,704
竞速游戏,264,269
冒险解谜,1684,340
竞速游戏,79,37
冒险解谜,173,86
策略塔防,4188,91
冒险解谜,546,608
策略塔防,1465,314
竞速游戏,2366,488
冒险解谜,4572,2934
策略塔防,849,269
策略塔防,1954,694
模拟经营,432,218
策略塔防,185,60
策略塔防,209,74
竞速游戏,3237,1187
策略塔防,252,105
策略塔防,873,108
策略塔防,56,36
模拟经营,292,263
模拟经营,69,61
模拟经营,211,264
策略塔防,944,708
策略塔防,934,182
策略塔防,68,57
竞速游戏,749,43
竞速游戏,720,35
模拟经营,297,167
模拟经营,236,176
模拟经营,368,288
冒险解谜,392,736
冒险解谜,2915,1169
模拟经营,2385,610
冒险解谜,816,381
策略塔防,740,19
策略塔防,121,115
竞速游戏,236,25
模拟经营,154,112
竞速游戏,155,321
竞速游戏,2510,1149
冒险解谜,2673,1878
模拟经营,8426,3803
竞速游戏,999,486
策略塔防,876,719
冒险解谜,398,330
策略塔防,2045,567
冒险解谜,3179,1731
策略塔防,7569,2700
模拟经营,2985,1831
冒险解谜,408,1065
模拟经营,691,793
冒险解谜,2174,556
模拟经营,715,265
冒险解谜,311,753
竞速游戏,269,120
冒险解谜,222,264
策略塔防,791,357
冒险解谜,683,646
冒险解谜,1438,503
冒险解谜,708,1066
冒险解谜,189,60
冒险解谜,682,948
