类别,评论数,评分
角色扮演,7100,7.0 
益智休闲,1496,5.3 
角色扮演,4390,7.4 
角色扮演,2369,5.9 
益智休闲,589,4.8 
益智休闲,760,5.5 
益智休闲,1434,7.7 
动作游戏,2234,7.7 
角色扮演,7226,8.5 
益智休闲,3698,8.0 
角色扮演,9708,8.2 
益智休闲,690,5.8 
角色扮演,8659,8.7 
益智休闲,854,5.4 
益智休闲,985,5.3 
益智休闲,116,5.8 
益智休闲,2698,7.1 
益智休闲,743,5.8 
角色扮演,5515,8.7 
角色扮演,1111,5.0 
射击游戏,20062,8.2 
益智休闲,744,7.5 
角色扮演,1624,5.4 
角色扮演,3329,7.0 
益智休闲,2510,5.8 
益智休闲,225,5.9 
益智休闲,1107,6.3 
益智休闲,4101,8.7 
益智休闲,1071,4.9 
动作游戏,5801,9.0 
益智休闲,578,5.3 
益智休闲,4376,8.2 
射击游戏,906,5.0 
射击游戏,3287,7.7 
动作游戏,645,7.9 
射击游戏,846,5.2 
动作游戏,749,7.9 
益智休闲,656,5.0 
益智休闲,1156,6.5 
益智休闲,3898,8.1 
益智休闲,734,5.4 
益智休闲,4183,8.0 
射击游戏,609,5.0 
动作游戏,1530,5.2 
益智休闲,5102,8.7 
射击游戏,4291,7.2 
角色扮演,2707,5.3 
射击游戏,2008,5.9 
动作游戏,3590,7.9 
动作游戏,645,5.0 
益智休闲,884,6.1 
角色扮演,689,5.3 
益智休闲,918,5.6 
角色扮演,1047,6.7 
益智休闲,724,5.0 
益智休闲,650,5.3 
角色扮演,7856,8.5 
益智休闲,1124,7.5 
益智休闲,5077,8.1 
射击游戏,3706,5.9 
动作游戏,2520,5.8 
射击游戏,648,5.7 
动作游戏,7685,1.0 
益智休闲,7784,8.2 
角色扮演,4246,8.0 
动作游戏,548,6.4 
射击游戏,4848,8.3 
射击游戏,6141,8.1 
动作游戏,5230,8.9 
益智休闲,780,7.8 
动作游戏,1377,5.9 
角色扮演,5719,7.5 
动作游戏,4952,8.4 
动作游戏,1249,5.7 
益智休闲,801,5.3 
动作游戏,3600,6.7 
益智休闲,715,7.3 
益智休闲,775,7.9 
动作游戏,1604,7.9 
动作游戏,2868,7.4 
益智休闲,1747,6.6 
角色扮演,13298,8.1 
动作游戏,1535,4.9 
益智休闲,4048,8.2 
动作游戏,4493,8.3 
角色扮演,940,5.8 
动作游戏,842,5.4 
射击游戏,6304,8.2 
动作游戏,2293,5.1 
射击游戏,1087,4.8 
益智休闲,4322,8.9 
益智休闲,1728,6.3 
益智休闲,731,5.5 
射击游戏,552,5.1 
射击游戏,2524,4.9 
射击游戏,2641,7.2 
动作游戏,1387,5.2 
射击游戏,1016,7.0 
动作游戏,1530,7.3 
益智休闲,692,5.3 
益智休闲,765,7.7 
益智休闲,0,5.1 
角色扮演,0,5.7 
益智休闲,0,6.2 
射击游戏,0,6.1 
动作游戏,0,5.0 
益智休闲,0,5.2 
射击游戏,0,5.9 
动作游戏,0,5.2 
动作游戏,652,8.0 
益智休闲,0,8.3 
动作游戏,921,7.2 
射击游戏,0,5.7 
动作游戏,0,5.8 
射击游戏,0,8.0 
动作游戏,854,5.4 
角色扮演,1168,7.6 
益智休闲,27,5.3 
动作游戏,276,6.5 
角色扮演,894,6.0 
射击游戏,2555,6.0 
益智休闲,527,5.1 
射击游戏,5510,8.6 
动作游戏,2035,8.0 
射击游戏,1617,5.5 
射击游戏,2365,6.1 
射击游戏,7207,8.1 
射击游戏,4362,8.1 
角色扮演,947,5.4 
益智休闲,208,6.7 
射击游戏,5904,7.5 
益智休闲,3419,8.5 
动作游戏,9938,8.1 
益智休闲,983,5.7 
动作游戏,3468,8.0 
射击游戏,886,5.0 
射击游戏,2685,7.1 
益智休闲,622,5.1 
益智休闲,681,7.4 
动作游戏,1530,4.8 
射击游戏,2514,7.7 
射击游戏,6451,7.7 
角色扮演,939,5.1 
射击游戏,933,8.0 
动作游戏,950,5.1 
射击游戏,732,5.2 
动作游戏,650,5.2 
益智休闲,852,7.6 
射击游戏,2113,7.0 
益智休闲,1071,6.5 
动作游戏,668,5.1 
益智休闲,777,8.0 
动作游戏,1192,4.8 
角色扮演,3380,8.2 
动作游戏,5098,8.4 
动作游戏,3487,8.2 
角色扮演,2436,5.0 
射击游戏,867,5.0 
射击游戏,1272,8.0 
角色扮演,934,5.1 
角色扮演,1417,5.4 
益智休闲,687,5.2 
益智休闲,3760,8.0 
益智休闲,848,5.1 
益智休闲,800,5.0 
射击游戏,913,7.1 
角色扮演,1510,7.9 
射击游戏,6526,7.9 
益智休闲,2224,6.8 
动作游戏,658,5.6 
益智休闲,572,5.0 
益智休闲,680,5.1 
益智休闲,1165,6.7 
益智休闲,1080,5.2 
益智休闲,1080,7.0 
益智休闲,781,6.9 
益智休闲,868,5.7 
益智休闲,635,5.5 
动作游戏,1886,7.7 
动作游戏,661,5.0 
角色扮演,948,4.8 
益智休闲,760,5.6 
射击游戏,5099,7.4 
射击游戏,3408,7.8 
益智休闲,514,5.0 
益智休闲,6154,8.4 
益智休闲,392,5.3 
角色扮演,807,5.4 
射击游戏,5479,8.1 
角色扮演,494,5.3 
益智休闲,857,7.9 
益智休闲,706,7.9 
射击游戏,1996,7.9 
射击游戏,502,5.0 
角色扮演,6756,8.4 
益智休闲,1034,7.5 
益智休闲,487,5.1 
动作游戏,868,7.9 
角色扮演,836,7.3 
动作游戏,707,5.1 
角色扮演,5680,8.0 
动作游戏,663,5.1 
射击游戏,940,4.7 
射击游戏,582,4.8 
射击游戏,1015,5.1 
益智休闲,594,7.5 
射击游戏,581,4.8 
角色扮演,1209,8.0 
角色扮演,4149,8.2 
益智休闲,1069,5.6 
角色扮演,7670,8.3 
角色扮演,180,5.9 
射击游戏,768,6.0 
角色扮演,9685,8.6 
角色扮演,1007,7.6 
角色扮演,1257,7.8 
益智休闲,4708,8.2 
角色扮演,1871,7.8 
射击游戏,1978,6.0 
益智休闲,453,4.6 
益智休闲,851,6.0 
角色扮演,1435,7.7 
射击游戏,3960,8.1 
动作游戏,848,7.9 
益智休闲,231,5.6 
动作游戏,604,5.1 
角色扮演,829,7.6 
角色扮演,1125,7.9 
动作游戏,4090,8.0 
动作游戏,2220,7.2 
益智休闲,881,7.6 
益智休闲,190,4.8 
射击游戏,2256,6.5 
益智休闲,2684,7.7 
益智休闲,616,7.9 
动作游戏,2439,7.8 
角色扮演,806,5.8 
益智休闲,629,8.0 
动作游戏,3657,8.1 
益智休闲,617,7.9 
射击游戏,460,5.3 
射击游戏,793,5.3 
益智休闲,3910,8.1 
动作游戏,861,7.0 
射击游戏,341,5.2 
角色扮演,502,5.0 
动作游戏,1407,7.7 
动作游戏,1552,8.0 
动作游戏,2687,6.1 
动作游戏,729,7.9 
动作游戏,2021,8.0 
射击游戏,2869,7.4 
角色扮演,910,7.5 
益智休闲,2509,5.2 
射击游戏,723,5.6 
射击游戏,666,5.1 
角色扮演,2989,7.7 
益智休闲,684,7.5 
益智休闲,57,5.1 
益智休闲,651,7.8 
动作游戏,3724,8.4 
益智休闲,1030,7.5 
动作游戏,108,5.2 
动作游戏,96,5.0 
角色扮演,684,5.9 
角色扮演,335,5.0 
角色扮演,307,5.2 
动作游戏,4439,8.4 
益智休闲,801,7.0 
角色扮演,3544,7.4 
益智休闲,2088,5.8 
动作游戏,1177,5.1 
角色扮演,4735,7.0 
动作游戏,2492,7.2 
益智休闲,3809,8.6 
动作游戏,8746,8.1 
射击游戏,610,7.8 
角色扮演,1060,5.8 
角色扮演,3621,6.3 
益智休闲,690,7.0 
射击游戏,2759,7.7 
益智休闲,204,5.1 
益智休闲,494,6.0 
益智休闲,284,5.7 
动作游戏,4921,8.3 
益智休闲,593,6.4 
动作游戏,607,5.0 
益智休闲,129,5.0 
益智休闲,1565,6.3 
益智休闲,412,5.0 
益智休闲,612,5.1 
动作游戏,377,5.0 
角色扮演,1779,7.3 
益智休闲,357,5.1 
益智休闲,77,5.1 
角色扮演,4100,8.5 
角色扮演,3691,8.1 
动作游戏,3327,5.3 
益智休闲,1553,5.1 
角色扮演,1344,7.5 
角色扮演,1007,7.6 
益智休闲,807,7.5 
射击游戏,236,5.0 
动作游戏,150,5.5 
动作游戏,90,5.1 
射击游戏,423,4.9 
角色扮演,172,4.9 
益智休闲,519,8.0 
益智休闲,2206,8.0 
角色扮演,703,5.2 
射击游戏,2815,7.0 
射击游戏,4193,8.0 
益智休闲,509,5.1 
益智休闲,1448,4.8 
角色扮演,386,5.2 
射击游戏,2368,8.0 
角色扮演,1363,7.7 
益智休闲,670,7.6 
益智休闲,615,6.4 
益智休闲,418,5.6 
益智休闲,189,5.3 
益智休闲,62,5.3 
射击游戏,235,5.2 
射击游戏,60,5.1 
益智休闲,904,8.0 
益智休闲,1920,5.4 
益智休闲,152,5.8 
射击游戏,1434,6.2 
动作游戏,1134,5.2 
益智休闲,1109,5.2 
动作游戏,1307,6.8 
益智休闲,1503,5.4 
益智休闲,362,6.2 
动作游戏,675,7.4 
益智休闲,243,5.2 
动作游戏,767,7.6 
角色扮演,938,6.8 
益智休闲,294,6.1 
动作游戏,1025,8.0 
益智休闲,480,5.0 
益智休闲,193,5.1 
益智休闲,652,6.2 
角色扮演,381,5.5 
益智休闲,767,7.6 
射击游戏,566,7.0 
角色扮演,225,6.6 
角色扮演,3031,5.4 
角色扮演,1030,7.7 
射击游戏,251,5.0 
角色扮演,30,4.8 
角色扮演,265,5.1 
角色扮演,883,5.9 
益智休闲,2737,6.2 
益智休闲,5298,8.3 
射击游戏,1293,7.9 
射击游戏,3694,8.1 
动作游戏,968,7.8 
益智休闲,627,7.9 
射击游戏,499,5.1 
益智休闲,591,5.3 
益智休闲,291,5.1 
射击游戏,244,5.0 
射击游戏,104,5.0 
角色扮演,796,7.0 
动作游戏,201,5.1 
益智休闲,243,5.0 
动作游戏,509,5.8 
动作游戏,1760,7.8 
益智休闲,705,8.0 
射击游戏,994,7.8 
益智休闲,238,5.3 
益智休闲,1049,5.7 
益智休闲,672,8.0 
益智休闲,61,5.0 
益智休闲,716,6.9 
益智休闲,186,4.7 
动作游戏,2252,5.6 
动作游戏,776,7.4 
射击游戏,5529,7.2 
动作游戏,850,7.9 
角色扮演,4161,8.6 
动作游戏,538,4.9 
动作游戏,2108,6.6 
动作游戏,1698,7.1 
角色扮演,800,7.5 
动作游戏,141,5.1 
益智休闲,63,5.0 
角色扮演,268,4.9 
射击游戏,136,4.7 
益智休闲,2088,6.0 
动作游戏,421,5.1 
益智休闲,443,5.3 
益智休闲,1304,5.6 
益智休闲,1768,7.7 
动作游戏,1176,7.8 
射击游戏,3551,8.1 
角色扮演,3490,8.1 
益智休闲,126,5.4 
益智休闲,49,5.0 
动作游戏,604,7.8 
射击游戏,618,8.0 
动作游戏,2562,7.0 
射击游戏,5627,8.0 
益智休闲,683,6.2 
角色扮演,5277,9.1 
动作游戏,4677,8.3 
动作游戏,340,5.2 
射击游戏,2575,7.7 
动作游戏,779,5.7 
角色扮演,4599,8.1 
动作游戏,95,4.8 
益智休闲,110,5.1 
益智休闲,722,7.7 
动作游戏,1806,5.2 
益智休闲,514,7.1 
益智休闲,427,5.1 
射击游戏,185,4.7 
益智休闲,607,7.5 
益智休闲,145,5.1 
益智休闲,91,5.1 
益智休闲,264,5.6 
益智休闲,802,7.9 
益智休闲,3202,8.5 
角色扮演,601,7.7 
射击游戏,197,5.1 
益智休闲,61,5.0 
益智休闲,679,8.0 
益智休闲,161,5.2 
射击游戏,866,8.0 
益智休闲,190,5.1 
射击游戏,868,7.3 
射击游戏,5247,8.6 
动作游戏,111,4.8 
